KINVENT Physio 2.17.3,Devices: ,P126936 (FW 3.016),P126695 (FW 3.016),,,,
Eyes Condition: ,Closed,,,,,,
Side: ,Left,,,,,,
Repetition:,1,,,,,,
Longitudinal Mean Cop Position (mm),-29.523,,,,,,
Lateral Mean Cop Position (mm),1.64,,,,,,
Longitudinal Standard Deviation (mm),11.074,,,,,,
Lateral Standard Deviation (mm),7.602,,,,,,
Ellipse Surface (mm²),1551.553,,,,,,
Total Displacement (mm),1921.384,,,,,,
Total Displacement AP (mm),1150.915,,,,,,
Total Displacement ML (mm),1334.034,,,,,,
Mean Velocity (mm/s),63.969,,,,,,
Mean Velocity AP (mm/s),38.318,,,,,,
Mean Velocity ML (mm/s),44.415,,,,,,
Longitudinal Amplitude (mm/s),56.335,,,,,,
Lateral Amplitude (mm/s),38.348,,,,,,
Amplitude Ratio,0.681,,,,,,
Phase Plane AP (mm),46.37,,,,,,
Phase Plane ML (mm),43.286,,,,,,
Max Distance AP (mm),56.749,,,,,,
Max Distance ML (mm),21.789,,,,,,
,Heel,Tip,,,,,
Weight Distribution (%),60.1,39.9,,,,,
,,,,,,,
,K-Plate Left,,,,,K-Plate Left,
Time (sec),CHANNEL_1,CHANNEL_2,CHANNEL_3,CHANNEL_4,,AP COP (y),ML COP (x)
1.0559,18.10678762,31.38257636,18.69032881,9.338919603,,0.6172,0.6054
1.0599,18.03740405,31.41854598,18.73910963,9.321319082,,0.6169,0.6063
1.0639,17.97761827,31.45871136,18.78240938,9.30326877,,0.6166,0.607
1.0679,17.92663553,31.49980853,18.82103571,9.283167701,,0.6164,0.6077
1.0719,17.88247114,31.53740443,18.85501843,9.262398017,,0.6163,0.6083
1.0759,17.84182966,31.5697683,18.88469361,9.243754426,,0.6162,0.6089
1.0799,17.80166384,31.59782122,18.90991059,9.22770817,,0.6161,0.6094
1.0839,17.76140299,31.6209733,18.92834712,9.213048475,,0.616,0.6099
1.0879,17.72133778,31.63565215,18.93701232,9.19832884,,0.616,0.6103
1.0919,17.68078136,31.63881492,18.93512899,9.181437958,,0.6159,0.6106
1.0959,17.63979318,31.63057226,18.92388737,9.159915442,,0.616,0.6109
1.0999,17.59949319,31.61540913,18.90648253,9.132818975,,0.6161,0.6112
1.1039,17.56038835,31.59975886,18.88609696,9.102133162,,0.6162,0.6116
1.1079,17.52110476,31.58648527,18.8628725,9.070360492,,0.6164,0.6119
1.1119,17.48057206,31.57630933,18.83603295,9.03721261,,0.6166,0.6122
1.1159,17.442777,31.57300761,18.80479529,9.001311701,,0.6169,0.6125
1.12,17.41387234,31.58128152,18.76816143,8.964284427,,0.6173,0.6129
1.124,17.39563998,31.6005187,18.72735079,8.929433622,,0.6179,0.6131
1.128,17.385949,31.62802349,18.68592172,8.897339935,,0.6185,0.6133
1.132,17.38305802,31.66363129,18.6475987,8.866836702,,0.6191,0.6135
1.136,17.38741881,31.70687613,18.61508967,8.83895754,,0.6197,0.6137
1.14,17.40009806,31.75673921,18.59051107,8.816898026,,0.6203,0.6139
1.144,17.42033801,31.81204045,18.57465503,8.802816375,,0.6208,0.6139
1.148,17.44559434,31.87147517,18.566786,8.795581426,,0.6212,0.614
1.152,17.47328776,31.93436747,18.56570992,8.79251846,,0.6216,0.614
1.156,17.5046905,32.00200234,18.57050953,8.793593097,,0.622,0.6141
1.16,17.54458217,32.07676102,18.58105435,8.801447319,,0.6223,0.6141
1.164,17.59326178,32.15766623,18.59624995,8.81755446,,0.6226,0.614
1.168,17.64856511,32.241025,18.61439212,8.842011678,,0.6228,0.6138
1.172,17.70975396,32.32257573,18.63504418,8.8735471,,0.623,0.6136
1.176,17.77410839,32.39652874,18.65671777,8.908802511,,0.6231,0.6133
1.18,17.83959522,32.45750564,18.67528124,8.946438579,,0.6232,0.6129
1.184,17.90630924,32.50379666,18.68833761,8.987250687,,0.6233,0.6124
1.188,17.97312281,32.53673755,18.69710627,9.030502049,,0.6233,0.6119
1.192,18.03735463,32.55799297,18.70197671,9.075201199,,0.6233,0.6113
1.196,18.09818539,32.56609844,18.70148589,9.121160556,,0.6232,0.6107
1.1999,18.15678633,32.55946483,18.69603342,9.167129329,,0.6231,0.61
1.2039,18.2121337,32.54142824,18.68810962,9.210270098,,0.623,0.6093
1.2079,18.26331107,32.51433116,18.6770926,9.248774093,,0.6229,0.6087
1.2119,18.31134101,32.4773312,18.6601828,9.282578713,,0.6229,0.608
1.2159,18.3568146,32.43193575,18.63855615,9.310708703,,0.6228,0.6074
1.2199,18.40028434,32.38180063,18.61527096,9.33340401,,0.6228,0.6067
1.2239,18.44211475,32.33021467,18.59129329,9.353853187,,0.6228,0.6061
1.2279,18.48232126,32.27858972,18.56623383,9.374357906,,0.6228,0.6055
1.2319,18.52250877,32.22481475,18.53951731,9.396545818,,0.6228,0.6049
1.2359,18.56513267,32.16661426,18.51135593,9.421699531,,0.6227,0.6042
1.24,18.60961565,32.10613149,18.48253448,9.449136531,,0.6227,0.6035
1.244,18.65369596,32.04624779,18.4542043,9.478748305,,0.6226,0.6028
1.248,18.69749717,31.98397448,18.42929829,9.512598,,0.6225,0.602
1.252,18.74213821,31.91230787,18.41039458,9.553146068,,0.6222,0.6012
1.256,18.78688702,31.82870921,18.3956078,9.600023244,,0.6218,0.6004
1.26,18.8335678,31.73363469,18.38017944,9.651509105,,0.6214,0.5994
1.264,18.88725539,31.62731736,18.36049085,9.707948538,,0.6209,0.5983
1.268,18.94860242,31.5141781,18.33582852,9.769079314,,0.6205,0.5972
1.272,19.01614864,31.39612465,18.30566202,9.833105144,,0.6201,0.5959
1.276,19.08958976,31.26986312,18.26846312,9.898481336,,0.6197,0.5945
1.28,19.16627059,31.13670104,18.22434493,9.963552212,,0.6193,0.5931
1.284,19.24321929,31.00132171,18.17459796,10.02679819,,0.619,0.5917
1.288,19.31886754,30.86583648,18.12079738,10.08688654,,0.6187,0.5902
1.292,19.39151279,30.7317374,18.06448506,10.14172046,,0.6185,0.5888
1.296,19.45971488,30.60287123,18.00747866,10.19006252,,0.6183,0.5875
1.3,19.52196154,30.4827084,17.95134364,10.23302922,,0.6182,0.5863
1.304,19.57600871,30.37413219,17.8978446,10.27073073,,0.6181,0.5852
1.308,19.62140657,30.28122279,17.85086784,10.30174221,,0.618,0.5843
1.312,19.66064176,30.20334681,17.81348998,10.32712191,,0.6179,0.5835
1.316,19.69542268,30.13545511,17.78525067,10.34940086,,0.6178,0.5828
1.3199,19.72476955,30.07552442,17.76285316,10.36910429,,0.6177,0.5823
1.3239,19.74798515,30.02344026,17.74302443,10.38556482,,0.6176,0.5818
1.3279,19.76583987,29.97782302,17.72536147,10.39891685,,0.6176,0.5814
1.3319,19.77922898,29.93604756,17.71117431,10.40926803,,0.6175,0.581
1.3359,19.78827436,29.89498886,17.70163087,10.41639293,,0.6174,0.5808
1.3399,19.79107691,29.85047896,17.69535885,10.4217631,,0.6172,0.5805
1.3439,19.78517423,29.79845025,17.68906269,10.42751172,,0.617,0.5803
1.3479,19.77019228,29.73973081,17.68124124,10.43376962,,0.6167,0.5801
1.3519,19.74546821,29.67709408,17.67176147,10.43785291,,0.6164,0.58
1.3559,19.71005202,29.61200515,17.6606257,10.43598466,,0.6161,0.5799
1.3599,19.66642658,29.54913847,17.64763777,10.42665549,,0.6158,0.5799
1.3639,19.61772033,29.49572774,17.63416557,10.41013592,,0.6156,0.5801
1.3679,19.56326732,29.45542549,17.62393546,10.38533501,,0.6155,0.5803
1.3719,19.50071841,29.42821403,17.61837298,10.35068899,,0.6154,0.5808
1.3759,19.43058524,29.41549284,17.61526702,10.30773885,,0.6154,0.5814
1.3799,19.35301335,29.41968061,17.61461868,10.25801744,,0.6155,0.5821
1.3839,19.26728374,29.44028605,17.62026092,10.20137622,,0.6156,0.583
1.3879,19.17713702,29.47376253,17.63441968,10.14088607,,0.6157,0.5841
1.3919,19.08493539,29.51794418,17.65618106,10.07931071,,0.6157,0.5852
1.3959,18.98882403,29.57217096,17.6839139,10.01655955,,0.6158,0.5865
1.4,18.88962103,29.63150873,17.71595881,9.954945719,,0.6159,0.5877
1.404,18.78897408,29.69277995,17.75206342,9.896884396,,0.6159,0.589
1.408,18.68747348,29.7588916,17.79364642,9.841624238,,0.6158,0.5903
1.412,18.58922888,29.83006305,17.84032963,9.788524407,,0.6158,0.5916
1.416,18.4990187,29.90342584,17.88914687,9.73838123,,0.6157,0.5929
1.42,18.41676759,29.97991348,17.93910104,9.691478698,,0.6157,0.5941
1.424,18.33907861,30.06395856,17.9924019,9.646562509,,0.6156,0.5954
1.428,18.26377601,30.15580773,18.04846665,9.602526557,,0.6156,0.5966
1.432,18.19034452,30.25244138,18.10660925,9.560259609,,0.6156,0.5978
1.436,18.11878921,30.35143023,18.16941634,9.521265485,,0.6155,0.599
1.44,18.05017783,30.44834341,18.23511356,9.486204691,,0.6154,0.6002
1.444,17.98351659,30.540136,18.30073325,9.45585889,,0.6153,0.6014
1.448,17.91641489,30.62586403,18.36669306,9.431600436,,0.6151,0.6024
1.452,17.85042424,30.7038559,18.43182576,9.413199041,,0.6148,0.6034
1.456,17.78876604,30.77462225,18.49514404,9.397981214,,0.6145,0.6043
1.46,17.73165595,30.84117436,18.55955429,9.384698517,,0.6141,0.6052
1.464,17.67766373,30.90513637,18.62787575,9.374983591,,0.6138,0.606
1.468,17.62788479,30.96521583,18.69803111,9.370470413,,0.6134,0.6068
1.472,17.58333172,31.01923505,18.76885347,9.372102101,,0.6129,0.6075
1.476,17.54282886,31.06559864,18.84266387,9.380877845,,0.6123,0.6081
1.4799,17.50670449,31.10442682,18.9177958,9.397037462,,0.6117,0.6086
1.4839,17.47694014,31.13595933,18.99259375,9.420421299,,0.611,0.609
1.4879,17.45629802,31.15913448,19.06886824,9.45118302,,0.6103,0.6092
1.4919,17.44684315,31.17466774,19.14463401,9.489495359,,0.6095,0.6093
1.4959,17.44864871,31.18481229,19.21614972,9.53524815,,0.6088,0.6093
1.4999,17.46113206,31.18991191,19.28301093,9.588523414,,0.608,0.6092
1.5039,17.48376523,31.18776909,19.34561832,9.649372471,,0.6073,0.6088
1.5079,17.51458343,31.17646658,19.40256836,9.715836193,,0.6065,0.6084
1.5119,17.55365268,31.15515662,19.44953764,9.784736384,,0.6058,0.6078
1.5159,17.60412388,31.12351402,19.48146491,9.85389962,,0.6052,0.6071
1.52,17.66625981,31.08239372,19.49660052,9.922580716,,0.6047,0.6063
1.524,17.74128955,31.03108884,19.4939761,9.992185128,,0.6043,0.6052
1.528,17.83287658,30.96786325,19.4722188,10.06489479,,0.6041,0.604
1.532,17.94030542,30.89470411,19.43171226,10.13963076,,0.604,0.6025
1.536,18.05971044,30.81456329,19.37243475,10.21208931,,0.6041,0.6009
1.54,18.19292812,30.72503922,19.29146177,10.27983726,,0.6044,0.5992
1.544,18.34693847,30.62221401,19.18605742,10.34478299,,0.6048,0.5972
1.548,18.52299234,30.50871351,19.05779435,10.40987528,,0.6055,0.595
1.552,18.72586128,30.38537466,18.90370085,10.47776517,,0.6064,0.5924
1.556,18.96680224,30.24660526,18.71666391,10.55118411,,0.6076,0.5895
1.56,19.24438993,30.09078745,18.49996344,10.63172142,,0.609,0.5862
1.564,19.5569788,29.91477211,18.25667782,10.72244389,,0.6106,0.5824
1.568,19.90948798,29.71265888,17.98474441,10.82681627,,0.6123,0.5781
1.572,20.29109862,29.48747396,17.69437563,10.94208065,,0.6142,0.5735
1.576,20.68858016,29.23979721,17.39560888,11.0650971,,0.616,0.5686
1.58,21.09801618,28.96610321,17.08980831,11.19659679,,0.6177,0.5635
1.584,21.50767728,28.67519722,16.78756627,11.3338341,,0.6193,0.5582
1.588,21.9008165,28.38140044,16.50290615,11.47179739,,0.6207,0.5531
1.592,22.2708316,28.08929319,16.2380262,11.60816163,,0.6219,0.5483
1.596,22.61945213,27.79781877,15.99031896,11.74312556,,0.6229,0.5436
1.5999,22.94264149,27.51416589,15.764195,11.87476449,,0.6237,0.5391
1.6039,23.23374082,27.24643038,15.56366051,11.99837294,,0.6243,0.5351
1.6079,23.49136625,26.99670205,15.38665742,12.1108659,,0.6248,0.5314
1.6119,23.71420163,26.76926002,15.232468,12.21017731,,0.6252,0.5282
1.6159,23.90269776,26.56768328,15.10180711,12.29448818,,0.6255,0.5254
1.6199,24.061153,26.39289524,14.99338116,12.36322235,,0.6257,0.523
1.6239,24.19176271,26.24542182,14.90405507,12.41735041,,0.6259,0.5211
1.6279,24.2947135,26.12296536,14.83144819,12.45893621,,0.626,0.5195
1.6319,24.37164897,26.02259104,14.7753392,12.48833616,,0.6261,0.5183
1.6359,24.42386371,25.94354331,14.73500358,12.50531838,,0.6262,0.5175
1.6399,24.45131913,25.88449363,14.7070539,12.51264299,,0.6262,0.5169
1.6439,24.45394956,25.84091172,14.68816165,12.51174963,,0.6262,0.5166
1.6479,24.43284451,25.80678912,14.67739437,12.50099536,,0.6261,0.5166
1.6519,24.39078222,25.77796897,14.67456875,12.48090773,,0.626,0.5167
1.6559,24.32664569,25.752404,14.67975658,12.45186995,,0.6258,0.5171
1.6599,24.23723148,25.72974893,14.69252539,12.41181289,,0.6256,0.5177
1.6639,24.12754301,25.71137316,14.71176673,12.3619385,,0.6253,0.5185
1.6679,24.00719781,25.69908451,14.73657475,12.30704575,,0.625,0.5194
1.6719,23.87910767,25.69381457,14.7685135,12.25136981,,0.6247,0.5204
1.6759,23.74234292,25.69587338,14.81106553,12.19730464,,0.6242,0.5216
1.68,23.60198588,25.70560009,14.86331187,12.14511734,,0.6237,0.5228
1.684,23.46277427,25.72462893,14.9222435,12.09502548,,0.6232,0.5241
1.688,23.32609608,25.75467902,14.98705804,12.0492435,,0.6226,0.5255
1.692,23.1957536,25.79332655,15.05597492,12.00974073,,0.6221,0.5268
1.696,23.07480557,25.83620517,15.12727907,11.97686504,,0.6215,0.5281
1.7,22.96454541,25.87960842,15.20056141,11.95139075,,0.6209,0.5293
1.704,22.86737633,25.92016148,15.27304634,11.9346021,,0.6202,0.5304
1.708,22.78694389,25.95473706,15.33886913,11.92585108,,0.6196,0.5313
1.712,22.7254742,25.97925881,15.3944222,11.92413545,,0.6191,0.532
1.716,22.68316554,25.9908168,15.44095332,11.9308091,,0.6186,0.5324
1.72,22.65983638,25.98940986,15.47939534,11.94753755,,0.6181,0.5326
1.724,22.65649643,25.97765577,15.50949035,11.97469879,,0.6176,0.5325
1.728,22.67400029,25.95922063,15.53201616,12.01112781,,0.6172,0.5323
1.732,22.70950326,25.9364822,15.54715796,12.0546724,,0.6169,0.5318
1.736,22.76147555,25.90945194,15.55525694,12.10559849,,0.6165,0.5312
1.74,22.83078869,25.87617372,15.55771579,12.16522325,,0.6162,0.5304
1.744,22.91372779,25.83518405,15.55526616,12.23141972,,0.616,0.5295
1.748,23.00691837,25.78660712,15.54683483,12.30243444,,0.6157,0.5284
1.752,23.11063422,25.73206391,15.5302411,12.37782684,,0.6155,0.5272
1.756,23.22220233,25.67377139,15.5057922,12.45352052,,0.6153,0.5259
1.7599,23.33645416,25.61237784,15.47662495,12.52552077,,0.6153,0.5245
1.7639,23.45432304,25.54796808,15.44326022,12.59593136,,0.6152,0.5232
1.7679,23.58167311,25.48251457,15.40409764,12.66868435,,0.6152,0.5217
1.7719,23.71810575,25.41920377,15.36032679,12.743447,,0.6153,0.5202
1.7759,23.86185266,25.36061254,15.31350508,12.81921049,,0.6154,0.5186
1.7799,24.01443798,25.30775586,15.26356498,12.89648114,,0.6156,0.5171
1.7839,24.17336792,25.25873482,15.21080169,12.97478046,,0.6159,0.5155
1.7879,24.33634026,25.20758943,15.15498442,13.05454439,,0.6162,0.5138
1.7919,24.50291326,25.14819731,15.09595014,13.13692513,,0.6164,0.5121
1.7959,24.6674526,25.07980502,15.03620225,13.22009557,,0.6167,0.5103
1.7999,24.82203923,25.00446445,14.97901655,13.30111211,,0.6168,0.5086
1.8039,24.96398412,24.91884939,14.92399627,13.38001873,,0.6169,0.5069
1.8079,25.09489974,24.81812206,14.86885048,13.45795686,,0.6168,0.5052
1.8119,25.21330406,24.70557026,14.81510523,13.53266486,,0.6167,0.5036
1.8159,25.31505623,24.58386822,14.76442437,13.60218913,,0.6165,0.502
1.8199,25.39842706,24.45074716,14.71525761,13.66812325,,0.6162,0.5005
1.8239,25.46261048,24.30965233,14.66847331,13.72975662,,0.6158,0.499
1.8279,25.50645341,24.16725255,14.62690464,13.78525086,,0.6153,0.4977
1.8319,25.52912143,24.02754291,14.59235642,13.83449587,,0.6147,0.4966
1.8359,25.53059346,23.89540123,14.56643714,13.87507126,,0.6141,0.4956
1.84,25.51283235,23.77614247,14.54847041,13.9050416,,0.6135,0.4949
1.844,25.47835467,23.67066512,14.53645053,13.92533654,,0.6129,0.4944
1.848,25.4296381,23.5768424,14.52949903,13.93591215,,0.6123,0.4941
1.852,25.37067806,23.49538014,14.52704686,13.93717944,,0.6117,0.494
1.856,25.30306798,23.42726256,14.53126567,13.93159112,,0.6112,0.494
1.86,25.22494801,23.36985883,14.54490182,13.92127229,,0.6106,0.4942
1.864,25.136583,23.31982081,14.56626094,13.90732408,,0.61,0.4946
1.868,25.03774594,23.27373809,14.59314541,13.88948206,,0.6093,0.495
1.872,24.92742503,23.22970562,14.62582906,13.86798329,,0.6086,0.4956
1.876,24.80946913,23.1899526,14.66447601,13.84574734,,0.6079,0.4962
1.8799,24.68922854,23.15821871,14.70916501,13.82553011,,0.6071,0.4969
1.8839,24.56898664,23.13550242,14.76153106,13.80864753,,0.6062,0.4977
1.8879,24.44983279,23.12063166,14.82331853,13.79581321,,0.6053,0.4986
1.8919,24.33551386,23.11318061,14.89361826,13.78771189,,0.6044,0.4994
1.8959,24.22870377,23.11394463,14.97049544,13.78705473,,0.6034,0.5003
1.8999,24.12787011,23.12276594,15.05307417,13.7966667,,0.6024,0.5012
1.9039,24.03209622,23.13602038,15.13942946,13.81476756,,0.6013,0.502
1.9079,23.94026593,23.14902684,15.2277475,13.83689492,,0.6002,0.5028
1.9119,23.84969993,23.15919538,15.31708769,13.86057674,,0.5991,0.5036
1.9159,23.76060147,23.16657018,15.40420511,13.88476074,,0.598,0.5044
1.9199,23.67440086,23.17263218,15.48744661,13.90825722,,0.5969,0.5051
1.9239,23.59126393,23.17862113,15.56788574,13.92915876,,0.5959,0.5058
1.9279,23.51228029,23.18574875,15.64417944,13.94461307,,0.595,0.5065
1.9319,23.43765675,23.19481543,15.71466924,13.9534927,,0.5941,0.5072
1.9359,23.36464123,23.20737526,15.78108628,13.95772829,,0.5934,0.5079
1.9399,23.29037327,23.22557173,15.84646161,13.95903159,,0.5927,0.5086
1.9439,23.21564465,23.24862451,15.91090682,13.95794124,,0.5921,0.5094
1.9479,23.14229058,23.27624382,15.97517338,13.95688439,,0.5914,0.5102
1.9519,23.07050342,23.30990813,16.04246151,13.95866299,,0.5908,0.511
1.9559,23.00102197,23.34709886,16.11309104,13.96156119,,0.5902,0.5118
1.96,22.93410468,23.38605979,16.18737245,13.96349012,,0.5895,0.5126
1.964,22.86903547,23.43004956,16.26706523,13.96575572,,0.5889,0.5135
1.968,22.80587432,23.48032414,16.35030986,13.96868847,,0.5883,0.5144
1.972,22.74390451,23.5341139,16.43279391,13.97200787,,0.5876,0.5153
1.976,22.67980171,23.5876834,16.51252573,13.97662603,,0.587,0.5162
1.98,22.6105876,23.63713935,16.59080887,13.98260165,,0.5864,0.5171
1.984,22.53602234,23.68023923,16.66892566,13.9877341,,0.5857,0.518
1.988,22.45352403,23.7181144,16.74765252,13.98846163,,0.585,0.5189
1.992,22.35956936,23.75300807,16.82824648,13.98275541,,0.5842,0.5199
1.996,22.25682464,23.78708442,16.91095911,13.97131989,,0.5835,0.521
2,22.14590461,23.8225613,16.99774442,13.95486772,,0.5827,0.5222
2.004,22.02223221,23.86045899,17.09085991,13.93347657,,0.5818,0.5235
2.008,21.88710964,23.90247135,17.18730097,13.90718821,,0.5809,0.5249
2.012,21.74747327,23.9503651,17.28324206,13.87519597,,0.5801,0.5264
2.016,21.60612022,24.00535092,17.38092311,13.83733879,,0.5793,0.5279
2.02,21.46163196,24.07025347,17.48435038,13.79399945,,0.5786,0.5296
2.024,21.316586,24.14680087,17.59220808,13.74558035,,0.5779,0.5314
2.028,21.17357201,24.23687575,17.70230335,13.69318032,,0.5773,0.5333
2.032,21.03244452,24.34253067,17.81411896,13.63804718,,0.5767,0.5352
2.036,20.89665793,24.46073112,17.92529804,13.58207537,,0.5763,0.5372
2.0399,20.76823998,24.58747215,18.03653654,13.52631633,,0.5759,0.5391
2.0439,20.64543332,24.71988919,18.15121238,13.47051852,,0.5756,0.5411
2.0479,20.52970274,24.8522166,18.26793224,13.41689075,,0.5753,0.543
2.0519,20.42425547,24.97884995,18.38308029,13.36951943,,0.5749,0.5448
2.0559,20.32743852,25.09638809,18.49436933,13.33101472,,0.5745,0.5464
2.0599,20.23490121,25.20030091,18.60057133,13.30158882,,0.5741,0.5479
2.0639,20.14527429,25.28552856,18.70134117,13.27895037,,0.5736,0.5493
2.0679,20.0553093,25.35104238,18.79740632,13.26016596,,0.573,0.5505
2.0719,19.96014972,25.39946565,18.88957841,13.24404371,,0.5723,0.5517
2.0759,19.86109458,25.43388636,18.97654348,13.23061482,,0.5715,0.5528
2.0799,19.76008365,25.45902688,19.05971311,13.21727603,,0.5707,0.5538
2.0839,19.65630928,25.48076539,19.14274703,13.19946807,,0.5699,0.5549
2.0879,19.55188104,25.50243003,19.22405449,13.1767251,,0.5692,0.556
2.0919,19.44926108,25.52544467,19.30091541,13.15141542,,0.5685,0.557
2.0959,19.34940359,25.55237611,19.37388998,13.12431687,,0.5679,0.5581
2.0999,19.2547652,25.58601685,19.44313608,13.09522881,,0.5673,0.5592
2.1039,19.16771283,25.6268084,19.50790227,13.06505823,,0.5669,0.5602
2.1079,19.08872324,25.67484022,19.56938645,13.03482733,,0.5665,0.5613
2.1119,19.01792176,25.73159971,19.62997639,13.00525221,,0.5663,0.5623
2.1159,18.95649797,25.79495788,19.6895784,12.97875455,,0.5661,0.5632
2.12,18.9048635,25.85901033,19.74786904,12.95704962,,0.5659,0.5641
2.124,18.8619714,25.91983929,19.8058615,12.94044149,,0.5657,0.5649
2.128,18.8262537,25.97600899,19.8619428,12.93050197,,0.5655,0.5656
2.132,18.79552103,26.02554368,19.91441829,12.9292033,,0.5653,0.5661
2.136,18.76775054,26.06473798,19.96380648,12.93655542,,0.565,0.5666
2.14,18.74243168,26.09120443,20.00887876,12.94930055,,0.5646,0.5669
2.144,18.72114024,26.10615105,20.04735017,12.96392985,,0.5643,0.5671
2.148,18.70547567,26.11175001,20.07873605,12.98039229,,0.5639,0.5673
2.152,18.69567271,26.10947882,20.10368207,13.00061066,,0.5636,0.5673
2.156,18.6920307,26.10087598,20.12285918,13.02497125,,0.5633,0.5672
2.16,18.69608413,26.08802073,20.13663719,13.05235967,,0.563,0.5671
2.164,18.71033896,26.07351407,20.14475778,13.08254839,,0.5627,0.5668
2.168,18.73676105,26.05862969,20.14668165,13.1157693,,0.5626,0.5664
2.172,18.77787689,26.04333946,20.14067633,13.15241965,,0.5625,0.5659
2.176,18.83574235,26.0265818,20.1240955,13.1934264,,0.5625,0.5653
2.18,18.90768314,26.00506691,20.09612602,13.23974216,,0.5626,0.5644
2.184,18.98957584,25.97567992,20.05747358,13.29130797,,0.5628,0.5634
2.188,19.08331405,25.93503358,20.00687078,13.34818265,,0.563,0.5623
2.192,19.19402298,25.87907248,19.94104218,13.41189678,,0.5633,0.5609
2.196,19.32265032,25.80740703,19.85910674,13.48218094,,0.5636,0.5592
2.1999,19.47290571,25.71934321,19.75760473,13.55876962,,0.564,0.5573
2.2039,19.65107683,25.61194317,19.63097496,13.64304143,,0.5646,0.555
2.2079,19.85421788,25.48672447,19.48020126,13.73363095,,0.5654,0.5523
2.2119,20.08436947,25.34408233,19.30235414,13.83053812,,0.5663,0.5493
2.2159,20.3500383,25.18113725,19.09166269,13.93600909,,0.5674,0.5459
2.2199,20.64324284,25.00051342,18.85532355,14.04706469,,0.5687,0.5422
2.2239,20.94844115,24.80867716,18.60611167,14.15842118,,0.5701,0.5382
2.2279,21.26264769,24.60603522,18.34755134,14.27030645,,0.5715,0.5342
2.2319,21.58733056,24.38841407,18.07847418,14.38579034,,0.5729,0.5299
2.2359,21.91258439,24.15980281,17.8059591,14.50342064,,0.5743,0.5256
2.24,22.22990259,23.92246503,17.53584246,14.62143425,,0.5757,0.5213
2.244,22.5387301,23.67236856,17.26687092,14.73999137,,0.5769,0.5169
2.248,22.83285035,23.4165305,17.00361464,14.85461104,,0.578,0.5126
2.252,23.10785088,23.16407251,16.75068761,14.96191747,,0.579,0.5085
2.256,23.36621966,22.91623723,16.50843545,15.0634897,,0.58,0.5046
2.26,23.60704282,22.67689101,16.2807903,15.15771361,,0.5809,0.5009
2.264,23.82949259,22.45056358,16.07064013,15.24150283,,0.5817,0.4974
2.268,24.03591545,22.23845193,15.87812383,15.31560209,,0.5824,0.4942
2.272,24.22438078,22.0434993,15.70395234,15.38134882,,0.5831,0.4913
2.276,24.39057121,21.86944173,15.54785158,15.43725551,,0.5837,0.4887
2.28,24.53434568,21.71663971,15.40830401,15.48283279,,0.5843,0.4865
2.284,24.66022909,21.58231665,15.28427224,15.52032166,,0.5848,0.4845
2.288,24.77113641,21.46445676,15.17557267,15.55020175,,0.5853,0.4827
2.292,24.86775315,21.3634038,15.08029948,15.57165591,,0.5858,0.4812
2.296,24.95232845,21.28021531,14.99581367,15.58444499,,0.5863,0.48
2.3,25.02577902,21.21315723,14.92045474,15.58959372,,0.5868,0.4789
2.304,25.08970428,21.15728081,14.85193996,15.58980148,,0.5873,0.478
2.308,25.14748448,21.10954901,14.78841891,15.58645933,,0.5878,0.4772
2.312,25.19985831,21.06983531,14.73061837,15.57862016,,0.5882,0.4765
2.316,25.24728086,21.0386053,14.68017499,15.56639431,,0.5887,0.476
2.3199,25.29080185,21.01660007,14.6369019,15.55116617,,0.5892,0.4755
2.3239,25.3299116,21.00306742,14.60009241,15.53348737,,0.5897,0.4751
2.3279,25.36479542,20.99525312,14.56834912,15.51552655,,0.5902,0.4749
2.3319,25.39789054,20.98987348,14.53959501,15.50169892,,0.5906,0.4746
2.3359,25.43123406,20.98473706,14.5152961,15.49620871,,0.5909,0.4743
2.3399,25.46386058,20.98014145,14.49711898,15.50112403,,0.5911,0.4741
2.3439,25.4940833,20.97522561,14.48339586,15.51406611,,0.5912,0.4738
2.3479,25.52176198,20.96578898,14.47292647,15.53101935,,0.5912,0.4735
2.3519,25.54753435,20.94935381,14.46590036,15.55006824,,0.5912,0.4732
2.3559,25.57185111,20.92712672,14.46199519,15.57002154,,0.5911,0.4728
2.3599,25.59640102,20.89993871,14.45812127,15.59146211,,0.591,0.4725
2.3639,25.62390049,20.86772189,14.45146445,15.61693603,,0.5908,0.4721
2.3679,25.65389976,20.83130627,14.44311949,15.64623071,,0.5907,0.4716
2.3719,25.68482962,20.79108158,14.43436837,15.67866002,,0.5905,0.471
2.3759,25.71737204,20.74807359,14.42605777,15.71583844,,0.5902,0.4705
2.3799,25.75241443,20.70680045,14.41972488,15.75734683,,0.59,0.4699
2.3839,25.78952202,20.67025288,14.41569985,15.80121241,,0.5897,0.4694
2.3879,25.82735555,20.63616689,14.41323248,15.84689413,,0.5894,0.4688
2.3919,25.86564602,20.60278923,14.41164887,15.89421179,,0.5891,0.4683
2.3959,25.90597052,20.57012361,14.41047123,15.94289293,,0.5889,0.4677
2.4,25.94962033,20.53733431,14.4093872,15.99325993,,0.5886,0.4671
2.404,25.99583172,20.50456732,14.40800157,16.045551,,0.5883,0.4665
2.408,26.04255471,20.47335632,14.40653572,16.09895172,,0.588,0.4659
2.412,26.08722384,20.442477,14.40592966,16.15278042,,0.5877,0.4654
